text,prediction
@furkanariss 😄😄,[[0.46964119 0.53035881]]
Aklının ücrasıyım.,[[0.46964119 0.53035881]]
COVİD-19 özgürlüğümü kısıtlıyorsun,[[0.46964119 0.53035881]]
@Aysenurtiryaki2 çünkü benim arkadaşımsın ❤️❤️❤️❤️,[[0.46964119 0.53035881]]
😅🎂  https://t.co/G7gGa1vNVa,[[0.40711539 0.59288461]]
RT @VahsiHayatlar: Küçük bir lokma.  https://t.co/Rk6qgA4jVQ,[[0.40711539 0.59288461]]
Tekrarı olmayacak tek sonsun,[[0.46964119 0.53035881]]
RT @serhatbedlek: Röportaj | Medyaya güveniyor musunuz? Adana sokaklarına yerel medyayı sorduk! Sahte habere maruz kaldığınızı düşünüyor mu…,[[0.46964119 0.53035881]]
@spotifydan Lütfen,[[0.46964119 0.53035881]]
@Hasanboztas0 @anapaliahmet @1UzunAdam Bir gün aynısını Arabistan içinde diyecekler; iyi insanlardı’ falan yüzünden kaybettiler. Ama şehvetlerinden ve hain olduklarından başlarına geleni hakkettilerini pek kimse bilmeyecek.,[[0.46964119 0.53035881]]
@Ozgekocahan Sen benim ponçiğim misin ❤️‍🔥🥳,[[0.46964119 0.53035881]]
Bu saatte azere bağladım ya neyse daha fazla efkarlanmadan uyuyim bari Zzzz,[[0.46964119 0.53035881]]
ışıl ışıl ask kadın olsam da bahtımın karalığı akrep yükselenle belli oluyo her yerde  https://t.co/7GYA75UNkh,[[0.44215054 0.55784946]]
RT @semrakuytul: Yandaş medyanın hakikatleri sansürüne inat Adana Merkez İnönü Parkında Basın açıklamasındayız!!  #FurkanaKumpasÇöktü İftir…,[[0.46964119 0.53035881]]
@pelinuzl 😃,[[0.46964119 0.53035881]]
@NoRespecte Siktir ediyorsun havlama sesi gelince bir gülme tutuyor hahahahah,[[0.46964119 0.53035881]]
RT @Ruya_Grck: Hala kayıp olduğu iddia edilen Koray Sarısaçlı'dan açıklama:  “Furkan Gönüllüleri ile hiçbir husumetim yok,[[0.46964119 0.53035881]]
Kendinizi sevin.,[[0.46964119 0.53035881]]
@Hodbehot ask mesela birini dolandırıp parasını yiyormuş sonra diğer gün başkasını dolandırıp başkasının parasını :d adam fakir değil ama milyarder de değil sabit bi geliri yok kimden ne koparırsa,[[0.47132855 0.52867145]]
Mide krampı geçircem şimdi kdkjfn,[[0.46964119 0.53035881]]
RT @YahsiYesim: Yapılan hukuksuzluğa son verilsin.  Kardeşlerimiz SerbestKalsın,[[0.38987615 0.61012385]]
Hayat sonu görünmeyen yol gibi nelerle karşılaşacağını bilemezsin.,[[0.46964119 0.53035881]]
Hep aynı kalsa acılar insanoğlu nasıl yaşar.,[[0.46964119 0.53035881]]
@Furkaandemirci  https://t.co/oWpJqWrjyN,[[0.40711539 0.59288461]]
Hayata uzak ölüme yakınız.,[[0.46964119 0.53035881]]
@Ozgekocahan @adileradildir Her zaman babyy,[[0.46964119 0.53035881]]
@mrscrescent Limonlu çay arada. Arada bebe asperin pıhtılaşma önler nefes alır,[[0.46964119 0.53035881]]
Ağlamamı beklediğiniz mendillerle halay çekmezsem şerefsizim.,[[0.46964119 0.53035881]]
@minwater Vatan bölünmez ezanlar susturamazlar.,[[0.46964119 0.53035881]]
@Ozgekocahan Çaktırma bebeğimsu içerde durumlar vahimm,[[0.46964119 0.53035881]]
@cylmzc__ Mesela?,[[0.46964119 0.53035881]]
@avokadoyesilii1 Seninle perde sevecek anlamayacak ne var😊,[[0.46964119 0.53035881]]
@Ozgekocahan Biliyorsun bu işlerii,[[0.46964119 0.53035881]]
https://t.co/nxz5oFI7sn,[[0.40711539 0.59288461]]
"#YeniProfilResmi  https://t.co/DCr8v1voZ9",[[0.40711539 0.59288461]]
@Biyiklicelal Bukalemun falan olmasın bizi mi yanıltmaya çalışıyosun anlamadım şizofrene bağlicam gece gece,[[0.46964119 0.53035881]]
RT @nebevihareket: Adam 'Ben burdayım' diyor,[[0.28852765 0.71147235]]
@sevdaturkusev @RTErdogan @YouTube Aynen öyle mekkeyi de yönetenler İsrail zihniyetli insanlar.,[[0.45258446 0.54741554]]
@OguzhanUgur Tutmayın adamı bu gazla gitsin,[[0.46964119 0.53035881]]
herkesten farklı kulvardayım,[[0.46964119 0.53035881]]
RT @bilal_berrou: Furkan Sosyal Medya: GÜNDEM ÇALIŞMAMIZ BAŞLADI ❗️❗️❗️  Etiketimiz:  MedyaEliyle TuzakKuruluyor  MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
babası evde ne dışarı çıkması perdeyi kapat otur diye dövüyor gelip dışarı çıkabilenlere saldırıyor,[[0.46964119 0.53035881]]
RT @Penzade: İŞTE İFTİRANIN İTİRAFI.  Süleyman Soylu,[[0.46964119 0.53035881]]
@csofmyeuphoriax ben de arifoğlunun yağını almıştım kaş için o da bitmiyo utanmasam yoldan geçenlerin kaşına kirpiğine de sürücem artık bitsin diye,[[0.36542822 0.63457178]]
RT @FaymaKardas: Kardeşlerimiz SerbestKalsın Üçümüzü  aldınız  susar mıyız?  Sandınız!!!,[[0.46964119 0.53035881]]
Bir erkek hem yakışıklı hem zeki olamaz.,[[0.46964119 0.53035881]]
RT @VahsiHayatlar: 🦁Alemin en tehlikeli çetesi  https://t.co/kvoZ27vQ5X,[[0.40711539 0.59288461]]
@hazalerogglu2 🥳,[[0.46964119 0.53035881]]
RT @FaymaKardas: Kardeşlerimiz SerbestKalsın  hem suçlular işkence yaparak hem de güçlüler!ALLAH BÜYÜK. ALLAH SONSUZ GÜÇLÜ!  https://t.co/pm…,[[0.41515248 0.58484752]]
Ve o lanet gün bugün.,[[0.46964119 0.53035881]]
MEU Sosyal Hizmetler Topluluğu (@meusht) arkadaşlar takip edin,[[0.46964119 0.53035881]]
tcde en basit işi yapmak bile çok yıpratıcı adam sadece konuşabilmek için fal baktırıyo diğeri de model fotoğraflı fake hesap açıp fal bahanesiyle numara almaya çalışıyo keske norveçte bok olsam cümlesi her geçen gün daha da anlam kazanıyo bende,[[0.54063113 0.45936887]]
RT @IstanbulFatihfv: Adliye Önünde Furkan Gönüllülerine Müdahale Varr❗❗❗  Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@AylinSarisoy Mersin güzell,[[0.46964119 0.53035881]]
Astrolog elvan: bu dönemde gördüğünüz rüyalar habercidir size gelecek ile ilgili işaretler verir.   Benim gördüğüm rüya:  https://t.co/C6KKy178T0,[[0.40711539 0.59288461]]
@trthaber Koca bisikletin üzerinden geçiyor hiç umrunda olmuyor böyle insanların üzerinden asfalt makinası ile geçsem doymam öküz,[[0.46964119 0.53035881]]
@Ozgekocahan Böyle daha güzel hayat dimii😋,[[0.46964119 0.53035881]]
@usseem @officialalihan şansıma sen çıktın djdjskhdk,[[0.46964119 0.53035881]]
@blue4ever2me @Salihhszgn @nebakiysinibine Ak it bunlar,[[0.46964119 0.53035881]]
@Metin___Ucar @mucizekur Tatlı demek,[[0.46964119 0.53035881]]
@Ozgekocahan Baba gibi baba bddnxxn,[[0.46964119 0.53035881]]
RT @HsnBozkurt: Programın tek kazananı yazık ki @sedat_peker oldu.  BAKAN;top çevirdi,[[0.41539318 0.58460682]]
RT @Tomceo10: temas bağımlısıyım  https://t.co/qYKK4kwMmL,[[0.40711539 0.59288461]]
Gelir bu saatlerde iç daralma,[[0.46964119 0.53035881]]
@arslanhasantr Tablada tantuni satan esnafta o saatte kapatıyor ama bu şekilde değil yakışmamış esnafa bu hareket.,[[0.46964119 0.53035881]]
Ömrümüzü verdik telefon numaramızı versek ne olur ndnddndnnd,[[0.46964119 0.53035881]]
@Ozgekocahan 🥺🥺,[[0.46964119 0.53035881]]
@NoRespecte Oyuna girmeden gamer mood girdikten sonra senin ben anskm kaldır beni ahhahaha,[[0.27110415 0.72889585]]
Mükemmelinin aq iyi olun yeter,[[0.46964119 0.53035881]]
@mr_crrh Çünkü bnm uğurlu sayım,[[0.46964119 0.53035881]]
@guldumbaksimdi @Xswift16 @angelifca @YueCollections bir de goldlardan da set yapsan çok güzel olur biliyo musun 🥺,[[0.44736541 0.55263459]]
RT @Ozgekocahan: Fiziksel açıdan mental açıdan daha ne kadar açı varsa  tüm açılırdan yıprandım,[[0.50900298 0.49099702]]
psikologuma cok üzülüyorum adam mutlu bi sekilde uyanıyo güne baslıyo sonra benim gibi bi ruh hastası 50 dklık seans boyunca ağlayıp tüm enerjisini sikiyo melisa çayı yapıp götürüorm şimdi stresini alır,[[0.46964119 0.53035881]]
Elimde olsa sesine sarılırdım cümlesi ne kadar da anlamlı,[[0.46964119 0.53035881]]
RT @nudesglobe:  https://t.co/nBZYKWDY5J,[[0.40711539 0.59288461]]
@clktugce @isyanvarama GİT HADİ BURADA DURMA AMA LÜTFEN KAPIYI VURMA,[[0.46964119 0.53035881]]
Harika bir boş vermişliğin içindeyim bundan sonra her şey keyfim için,[[0.46964119 0.53035881]]
Kaçırılan iş adamı Koray Sarısaçlı İle Özel CANLI YAYIN ! Yargısızİnfaza Son  https://t.co/Dm5FchmpaR,[[0.37038487 0.62961513]]
RT @neferifurkan27: 4 Gündür Hiçbir Suçu Olmadığı Halde Gözaltında Tutulan 3 Furkan Gönüllüsü Serbest Bırakılsın!  Kardeşlerimiz SerbestKal…,[[0.46964119 0.53035881]]
RT @ah_ekinci: 4 Gündür Hiçbir Suçu Olmadığı Halde Gözaltında Tutulan 3 Furkan Gönüllüsü Serbest Bırakılsın!  Kardeşlerimiz SerbestKalsın h…,[[0.46964119 0.53035881]]
@BukBaran1 🙂🌼,[[0.46964119 0.53035881]]
İnsan kılıklılara değil,[[0.46964119 0.53035881]]
RT @furkanvakfi: Bahsi geçen medya kuruluşlarıyla hukukî yollarla mücadele edeceğimizi ve kardeşlerimiz serbest kalana kadar bu olayın peşi…,[[0.46964119 0.53035881]]
@adileradildir Sen beşiktaşlı mıydın knk jddnndnd neyse öğrenmiş olduk,[[0.46964119 0.53035881]]
RT @brnslagca: Bankadaki 15 bin TL borcunu ödeyemediği için intihar eden yoksulların ülkesinde Demirören,[[0.46114292 0.53885708]]
RT @beyzanurdogan_: Bitmek bilmeyen zulümleriniz...  Kardeşlerimiz SerbestKalsın  https://t.co/VOj2nCAqNM,[[0.40711539 0.59288461]]
dünyanın en uzun 10 saniyesi.. kaçak film sitesindeki bana koy reklamı,[[0.31077897 0.68922103]]
RT @yusuferoll_: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/HTxcUcREp9,[[0.37038487 0.62961513]]
@belamistiyon @fun4alperen @with_zey,[[0.46964119 0.53035881]]
Keşke verilen sözler tutulsaaa,[[0.46964119 0.53035881]]
@Kubra__571 Bu iktidarı da afganlısınıda suriyelisinide savunmuyoruz arkadaşım,[[0.46964119 0.53035881]]
@avokadoyesilii1 Siteyi kullananda insanlar.,[[0.46964119 0.53035881]]
"RT @furkanhabernet: Kayıp işadamı Koray Sarısaçlı'nın eşi Rumeysa Sarısaçlı Hocahanım:  \"Eşim 5 gündür kayıp! Emniyetin masum insanlara ift…",[[0.46964119 0.53035881]]
Pozitif bir insan olup negatif görünmek benim sorunlarımdan biri✨,[[0.46964119 0.53035881]]
RT @ozlem_oztep: İş adamı çıkıyor Furkan Gönüllüleri suçsuz diye açıklama yapıyor. Medya o kısmı kırpıp sadece iş adamı ortaya çıktı diye h…,[[0.46964119 0.53035881]]
RT @TugayTASCI02: MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
@merend7 Hayır beş dakika daha uyuğmicağğmmm  😄,[[0.46964119 0.53035881]]
@GTDerya @fonseka26 Gt,[[0.46964119 0.53035881]]
@pelinuzl Doruklarını yaşıyorum diyorum sana anlasana ndnssn,[[0.46964119 0.53035881]]
@t24comtr Sap mı yemiş??,[[0.46964119 0.53035881]]
RT @sadhappymood: Her şeyin en iyisine sahip olan değil,[[0.46964119 0.53035881]]
@oztekinduyguu Dm'den çok fazla küfür alıyorum sen yönlendiriyorsun diyerek çocuğu hedef gösteriyorsun dm kutun kapalı,[[0.46964119 0.53035881]]
RT @NHTBHR_KRT: Vicdanlarımıza  Ders olacak çok şey var!.🥀  https://t.co/DEOZtQu74f,[[0.40711539 0.59288461]]
Bana tutunan dahada batıyorrrr tükendim nabız atıyor...,[[0.46964119 0.53035881]]
RT @angelifcapckles: Annecim dur simdi degil dolunayin etkilerini okuyorum  https://t.co/onb4TQdQTL,[[0.40711539 0.59288461]]
RT @halktvcomtr: Sedat Peker saat verdi: Sezgin Baran Korkmaz,[[0.46964119 0.53035881]]
RT @MumineFv: @ihacomtr ÇELİŞKİLERİ AYYUKA ÇIKMIŞ  İlk etapta gözaltina alinan 3Kişi ❌Ysf T,[[0.46964119 0.53035881]]
Adana yolu göründü yine.,[[0.46964119 0.53035881]]
@Zildjia38956241 Adanalı mısın kardaşım,[[0.46964119 0.53035881]]
hoşgeldin musa 2.0 bebek,[[0.46964119 0.53035881]]
Gerçekten o kadar güçlü biriyim ki başıma ne gelirse gelsin yine kendi elimden tutarak her türlü enkazdan çıkabiliyor ve yolumu çizebiliyorum. Kendimle gurur duyuyorum.,[[0.46964119 0.53035881]]
@dilaraxin @1dilhunnn ahajalalwkejdkdk dinden atıldı artık ağlayarak günlüğüne yazabilir,[[0.46964119 0.53035881]]
Bazen hissedersin,[[0.46964119 0.53035881]]
RT @furkanhuzeyfe: İftiracıİHA RezilOldu #FurkanaKumpasÇöktü,[[0.46964119 0.53035881]]
https://t.co/fFEDwPSNkl,[[0.40711539 0.59288461]]
RT @serhatbedlek: Tüm körler gördü,[[0.46964119 0.53035881]]
Özledikçe sessizleşir insan,[[0.46964119 0.53035881]]
RT @gulsum_aytkn: Zalimler Allah'a hesap verecek.  Kardeşlerimiz SerbestKalsın  https://t.co/wn5i2vF9dm,[[0.40711539 0.59288461]]
RT @onculerfv: Kardeşlerimiz SerbestKalsin  https://t.co/Uxj48abKg4,[[0.40711539 0.59288461]]
Sıradaki parça duygulu duygusuzlara gelsin.,[[0.46964119 0.53035881]]
RT @saidislamFV: ADANA ADLİYESİ ÖNÜNDE BEKLEYİŞ | CANLI YAYIN   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@t24comtr Bende olsam faizi yükseltmem dolar 8 olur belki ama iş durmaz. Dolar 7 olmuş iş yok ne anladık.,[[0.46964119 0.53035881]]
RT @furkanhabernet: Son Dakika | İşkenceye Maruz Kalan ve Savcının Tutuklanma Talebiyle Sulh Ceza Mahkemesine Sevk Edilen 3 Furkan Gönüllüs…,[[0.38987615 0.61012385]]
Vizyonunuzu misyonunuzu sikeyimmm,[[0.46964119 0.53035881]]
@kosee_hsn Hafta sonu maça gel konser tadında resital sunacam,[[0.46964119 0.53035881]]
@kardelen_silaaa 😂,[[0.46964119 0.53035881]]
@Selma_dadak Yellicen ahgagsgs,[[0.46964119 0.53035881]]
7 ve 8. sınıfta milletin sevgilisine atacağı uzun mesajları ben yazıyodum entel feridunluğum ve girişimciliğim böyle başlamıştı ✍🏻,[[0.28852765 0.71147235]]
keske bir şeye normal insanlar gibi iki dakika üzülüp geçebilsem illa üzüntüden midem bulanıp hasta olana kadar kendimi hırpalamam gerekiyor,[[0.33067473 0.66932527]]
@TwinkleWitchh herşeyide paylaşmak gerekmiyor,[[0.46964119 0.53035881]]
Ne kadar güzel kokuyorsun cümlesi o kadar mutlu ediyor ki anlatamam,[[0.46964119 0.53035881]]
Dost sevindirmeyi iyi biliriz ama favorimiz düşman çatlatmak.,[[0.46964119 0.53035881]]
@FakirKahvaltisi 🥺🥺,[[0.46964119 0.53035881]]
@eksuzmii @dilekzdg seni de dinden çıkardım,[[0.45258446 0.54741554]]
@Zildjia38956241 Yok olmuyor doğru yazdın Denizlili,[[0.46964119 0.53035881]]
Kahve içmeyen bana türk kahvesi içirdiniz öyle kötü bir gün işte,[[0.46964119 0.53035881]]
@Dewrim_MKA Bayrakları indiremezsin kardeşim ezanda susmaz ezanlar 1599 yıldır hiç susmadıda.,[[0.46964119 0.53035881]]
ezelin annesi kör meliha hazırlamış listeyi,[[0.46964119 0.53035881]]
RT @ahdevefafv: Furkana kumpas devam ediyor  https://t.co/jkUL0LiHZb,[[0.40711539 0.59288461]]
RT @MustafaSahinFV: KaranlıkGüçler İşBaşında   Furkan Gönüllüleri ise mücadeleden asla ödün vermedi vermeyecek!  Onlar ihanete doymadı,[[0.46964119 0.53035881]]
@Kagansipahi01 👍👊,[[0.46964119 0.53035881]]
@Ozgekocahan Dimiiiiii bebeğimsu ✨,[[0.46964119 0.53035881]]
@ensonhaber Hangi cesur soracakmış😊,[[0.46964119 0.53035881]]
@t24comtr Doyurdukları cemaat ta gide bilir bence sorun olmaz.,[[0.46964119 0.53035881]]
RT @TugayTASCI02: KaranlıkGüçler İşBaşında @ihacomtr @cumhuriyetgzt ve @gazetesozcu de bu işin içinde.,[[0.45258446 0.54741554]]
Hikayenin sonunda hepimiz ölüyoruz.,[[0.46964119 0.53035881]]
Profilde olduğu gibi boşluk her zaman bir şekilde doldurulur değerli kardeşlerim,[[0.46964119 0.53035881]]
Bu çikolata perileri kim ve neden hiç beni bırakmıyolar,[[0.46964119 0.53035881]]
RT @1Engellenemez: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/vqVMTmu3…,[[0.37038487 0.62961513]]
Aslında olmamasında değilim bari oluyormuş gibi olmasaydı.,[[0.46964119 0.53035881]]
Her masal mutlu bitmiyor bilinn,[[0.46964119 0.53035881]]
RT @furkanvakfiTT: Koray Sarısaçlı Furkan Gönüllülerinin suçsuz olduğu söylediği halde İHA @ihacomtr  Koray Sarısaçlı'nın hala kayıp olduğu…,[[0.46964119 0.53035881]]
yemek perileri lütfen başımdan gidin hayatım yeterince kötü zaten,[[0.46964119 0.53035881]]
ne canım kızım ne canım oğlum için.. gelecekteki evime şöyle bi köşe yapabilmek için yaşıorum malsf,[[0.46964119 0.53035881]]
Ve sevmeden önce inanmak lazım.,[[0.46964119 0.53035881]]
@Yaseminoguz01 👌👏,[[0.46964119 0.53035881]]
RT @Ruya_Grck: @MumineFv @ihacomtr Savcının itirazı üzerine yapılan mahkeme(!)  Dikkat! Hakimin Sekreterinin odası👇 Hakim oturmadan şöyle b…,[[0.46964119 0.53035881]]
RT @serhadarslan: KaranlıkGüçler İşBaşında #TetikçiYandaşMedya,[[0.46964119 0.53035881]]
"7/24 konuştuğun yakın arkadaşlarının \"sana fal baktırmak istiyoruz ama lütfen bizden de ücret al emek veriyorsun\" demesi ve sadece simasını hatırladığın insanların bedava fal için yalvarması..",[[0.43131749 0.56868251]]
"RT @Huseyin_Sah27: Hakikatte olay ne öldürme eylemleri yapmaları ne de başka bir şey. Olay; bu yiğitlerin \"Allah'ın Dünyasında Zalimlerin D…",[[0.45258446 0.54741554]]
RT @Nlfr_01: Kardeşlerimiz SerbestKalsın  Biz Terörist değiliz  Biz MÜSLÜMANIZ !!!  https://t.co/B3z1WUQOFJ,[[0.40711539 0.59288461]]
Olursa çekiliriz.,[[0.46964119 0.53035881]]
RT @AvBilalipek: Müvekkillerimiz sulh cezada hakim karşısında ifader vermekteler...  #AdanaEmniyeti,[[0.46964119 0.53035881]]
RT @furkanvakfi: Emniyette işkence gören 3 Furkan Gönüllüsünün bugün adileyeye sevk edilmesi üzerine destek olmak için adliye önünde gelen…,[[0.46964119 0.53035881]]
Adana mı özledim ama hatayda güzel memleket,[[0.46964119 0.53035881]]
@larex48 @sunecenr @dilrenaso Benim üniversitemde bana danışman atanmadı yani direkt onaylandı bu yüzden bilmiyorum ama danışmanının mailini bulursan mail atıp sor bence ders kayıtları bitmeden,[[0.46964119 0.53035881]]
@ali_kumuru Ne anlatıyorsun sen ya😂,[[0.46964119 0.53035881]]
@ensonhaber Tüvtürk sen 400 10 dakikada alıyorsun ya sana kimse soygunda yetişemez.sana dur diyende olmaZ,[[0.31077897 0.68922103]]
@sermayesizyazar @borsacibaba Buda olmuyor faiz yükselecek diyorlar ki öyle bir şey  olsa bankalar yerinde sayılır veya yükselmeyeceğini biliyorlar.,[[0.46964119 0.53035881]]
"RT @ibrahimtenekeci: \"Eşyayı dahi incitme\" diyen bir medeniyetin mensuplarıyız. Su içtiği bardağı öpen Mevlevileri düşünelim. Ormana girerk…",[[0.46964119 0.53035881]]
RT @onculerfv: Adliye önünde bekleyen Alparslan Kuytul Hocaefendi'ye polisin biber gazlı müdahale anı!  Kardeşlerimiz SerbestKalsın  #Adale…,[[0.46964119 0.53035881]]
RT @semrakuytul: İşkence İle Yalan İfadeye Zorlayan Adana Emniyeti Elinde Hiçbir Delil ve İspat Olmadan Tertemiz 3 Furkan Gönüllüsünü 3 Gün…,[[0.46964119 0.53035881]]
